gap_y,gap_height,time
0.6854555991003375,0.22154533257878473,2
0.3003615968392292,0.21035146748366007,4
0.7102709467816801,0.2991864233340382,6
0.31246130791937643,0.2888852619381673,8
0.6243336540147959,0.22761041001244697,10
0.6298001243073498,0.27301195017753693,12
0.6053402636592852,0.27679010418028815,14
0.44334888896648994,0.20659082772291798,16
0.2992550633812453,0.26623773067686024,18
0.7755691143756711,0.21167670795233381,20
0.4900866682724461,0.23666930478046513,22
0.21537829355766022,0.2585559345183768,24
0.4320361809080837,0.2905851610474437,26
0.4856388084296915,0.27506633242911416,28
0.4679409357670243,0.23488520287050382,30
0.7057599774108645,0.22649760010264455,32
0.29742911389761995,0.2911096276469854,34
0.5984470427063575,0.2211225564210171,36
0.6546055579259609,0.25915133210528246,38
0.7212229157724153,0.22980351472546617,40